Id;Default
1409;valve_lift_2
2061;valve_lif_1
1819;valve_right_door
227;valve_stopper
200;Velocity
193;WORKING SAFETY
246;Working1
753;Working1 Load
928;Working1 Unload
514;Working2
2337;Working2 Load
86;Working2 Unload
1;Yes
2;Yes, with Reset
